,Iteration,Fitness,Time,State,schedule,max_iters,Temperature,type,init_temp,decay,min_temp,current_value,exp_const
81,8,4.0,0.003212300000086543,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1],100,512,100,arithmetic,100,0.0001,0.001,99.99999967877,
82,16,7.0,0.005370799999582232,[1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 1 1 0],100,512,100,arithmetic,100,0.0001,0.001,99.99999946292,
83,32,7.0,0.00786089999928663,[1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0 0],100,512,100,arithmetic,100,0.0001,0.001,99.99999921391,
84,64,13.0,0.014802599999711674,[1 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0],100,512,100,arithmetic,100,0.0001,0.001,99.99999851974,
85,128,13.0,0.025250599999708356,[1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0],100,512,100,arithmetic,100,0.0001,0.001,99.99999747494,
86,256,11.0,0.04725669999970705,[0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1],100,512,100,arithmetic,100,0.0001,0.001,99.99999527433,
87,512,8.0,0.08583209999960673,[1 0 0 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 1],100,512,100,arithmetic,100,0.0001,0.001,99.99999141679,
88,0,11.0,0.00010560000009718351,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],100,512,100,exponential,100,,0.001,99.99994720001389,0.005
89,1,10.0,0.00041650000002846355,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0],100,512,100,exponential,100,,0.001,99.99979175021683,0.005
90,2,12.0,0.0007232000007206807,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0],100,512,100,exponential,100,,0.001,99.99963840065341,0.005
91,4,11.0,0.0011467000003904104,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],100,512,100,exponential,100,,0.001,99.99942665164345,0.005
92,8,4.0,0.002033100000517152,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1],100,512,100,exponential,100,,0.001,99.9989834551666,0.005
93,16,7.0,0.003200000000106229,[1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 1 1 0],100,512,100,exponential,100,,0.001,99.99840001279988,0.005
94,32,7.0,0.005719100000533217,[1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0 0],100,512,100,exponential,100,,0.001,99.99714049088448,0.005
95,64,13.0,0.010315000000446162,[1 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0],100,512,100,exponential,100,,0.001,99.99484263299652,0.005
96,128,13.0,0.01935219999995752,[1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0],100,512,100,exponential,100,,0.001,99.99032436811947,0.005
97,256,11.0,0.03757370000039373,[0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1],100,512,100,exponential,100,,0.001,99.98121491461795,0.005
98,512,13.0,0.07607129999996687,[0 1 0 0 1 0 1 1 0 1 1 1 0 0 1 0 1 0 1 1 1],100,512,100,exponential,100,,0.001,99.96197158263634,0.005
99,0,11.0,0.0001067000002876739,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],1000,512,1000,geometric,1000,0.99,0.001,999.9989276297365,
100,1,10.0,0.0004391000002215151,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0],1000,512,1000,geometric,1000,0.99,0.001,999.9955869072622,
101,2,12.0,0.0007405999995171442,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0],1000,512,1000,geometric,1000,0.99,0.001,999.9925567489729,
102,4,11.0,0.0011747999997169245,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],1000,512,1000,geometric,1000,0.99,0.001,999.9881929351461,
103,8,4.0,0.0019765999995797756,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1],1000,512,1000,geometric,1000,0.99,0.001,999.9801347034738,
104,16,7.0,0.0032903000001169858,[1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 1 1 0],1000,512,1000,geometric,1000,0.99,0.001,999.9669319267008,
105,32,7.0,0.006677200000012817,[1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0 0],1000,512,1000,geometric,1000,0.99,0.001,999.9328941491373,
106,64,13.0,0.011606699999902048,[1 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0],1000,512,1000,geometric,1000,0.99,0.001,999.8833555703407,
107,128,13.0,0.02227500000026339,[1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0],1000,512,1000,geometric,1000,0.99,0.001,999.7761538261548,
108,256,11.0,0.043358400000215624,[0 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 1 1 1 0 1],1000,512,1000,geometric,1000,0.99,0.001,999.5643284503508,
109,512,11.0,0.08044079999945097,[0 1 0 1 1 1 0 0 1 0 0 0 1 1 0 1 0 0 0 1 1],1000,512,1000,geometric,1000,0.99,0.001,999.1918696570367,
110,0,11.0,0.00010230000043520704,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 1],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999998977,
111,1,10.0,0.0004259000006641145,[0 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 1 1 0 0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999995741,
112,2,12.0,0.0011777000008805771,[0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999988223,
113,4,11.0,0.0016131000002133078,[0 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 1 1 0 1],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999983869,
114,8,4.0,0.002441700000417768,[1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999975583,
115,16,7.0,0.003668400000606198,[1 1 1 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1 1 1 0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999963316,
116,32,7.0,0.006460800000240852,[1 1 1 0 0 1 1 1 0 0 0 0 0 1 1 0 0 1 1 0 0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999935392,
117,64,13.0,0.012155400000665395,[1 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999878446,
118,128,13.0,0.023313900000175636,[1 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0],1000,512,1000,arithmetic,1000,0.0001,0.001,999.99999766861,
